imie,wystapienia_pierwsze,wystapienia_drugie,pochodzenie,opis_html
Maria,566902,1463775,hebrajskie,"<a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_arabski"" target=""_blank"" rel=""noopener noreferrer"">arab.</a>&#160;&#8207;مريم&#8206;, <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_aramejski"" target=""_blank"" rel=""noopener noreferrer"">aram.</a>&#160;&#8207;ܡܪܝܡ&#8206;, <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_grecki"" target=""_blank"" rel=""noopener noreferrer"">gr.</a>&#160;Μαρία, <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_hebrajski"" target=""_blank"" rel=""noopener noreferrer"">hebr.</a>&#160;&#8207;מִרְיָם&#8206;, <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_rosyjski"" target=""_blank"" rel=""noopener noreferrer"">ros.</a>&#160;Мария itp."
Anna,1063756,896075,hebrajskie,"Anna – 1&#160;068&#160;330 osób w <a href=""https://pl.wikipedia.org/wiki/Polska"" target=""_blank"" rel=""noopener noreferrer"">Polsce</a> (1.&#160;miejsce wśród imion żeńskich i wśród wszystkich imion w Polsce); Hanna – 227&#160;676 osób w Polsce (31. miejsce wśród imion żeńskich)"
Katarzyna,602474,417253,greckie,"2&#160;lutego, 13&#160;lutego, 9&#160;marca, 22&#160;marca, 24&#160;marca, 1&#160;kwietnia, 6&#160;kwietnia, 17&#160;kwietnia, 29&#160;kwietnia, 30&#160;kwietnia, 9&#160;maja, 4&#160;września, 15&#160;września, 25&#160;listopada i 30&#160;grudnia"
Małgorzata,572067,332219,greckie,"„perła”, „pąk kwiatowy”, „kwiat”, „listowie”"
Barbara,467697,400538,greckie,"<b>Barbara</b> – <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imię</a> żeńskie pochodzenia <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_grecki"" target=""_blank"" rel=""noopener noreferrer"">greckiego</a> rozpowszechnione za sprawą <a href=""https://pl.wikipedia.org/wiki/%C5%81acina"" target=""_blank"" rel=""noopener noreferrer"">łaciny</a>. Wywodzi się od <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_grecki"" target=""_blank"" rel=""noopener noreferrer"">gr.</a>&#160;Βαρβάρα (<a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_grecki_klasyczny"" target=""_blank"" rel=""noopener noreferrer"">stgr.</a>&#160;βαρβαρος – każdy kto nie&#160;był Grekiem) oznaczającego „<a href=""https://pl.wikipedia.org/wiki/Barbarzy%C5%84ca"" target=""_blank"" rel=""noopener noreferrer"">barbarzyńcę</a>”, a ściślej od jego łacińskiego odpowiednika w rodzaju żeńskim <i>barbara</i>, co oznacza „barbarzynkę”, czyli <b>cudzoziemkę</b>."
Ewa,469822,371367,hebrajskie,"<b>Ewa</b> – <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imię</a> żeńskie, które pierwszy raz pojawia się 2000 lat p.n.e. w <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_sumeryjski"" target=""_blank"" rel=""noopener noreferrer"">języku sumeryjskim</a> jako „Awa” gdzie oznacza „życie”. W języku hebrajskim, który zapożyczył to imię od Sumerów wywodzi się od rdzenia חוה <i>hajja</i> lub hawwa – i również oznacza ‘dająca życie’. Imię wyprowadzane też z arabskiego słowa <i>hajja</i> ‘wąż’."
Agnieszka,544968,274995,greckie,"<b>Agnieszka</b> – imię żeńskie, jedno z najpopularniejszych w Polsce, gdzie pojawiło się wraz z chrześcijaństwem. Pochodzi od <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_grecki"" target=""_blank"" rel=""noopener noreferrer"">gr.</a>&#160;Αγνή – „czysta”, „dziewicza”, „nieskalana”. Może również pochodzić od <a href=""https://pl.wikipedia.org/wiki/%C5%81acina"" target=""_blank"" rel=""noopener noreferrer"">łac.</a>&#160;<em>agnus</em> – „baranek” (to jednocześnie rodzaj męski greckiej „h-agne”). Do Czech imię to dotarło w formie <a href=""https://pl.wikipedia.org/wiki/%C5%81acina"" target=""_blank"" rel=""noopener noreferrer"">łac.</a>&#160;<em>Agnes</em>, następnie zostało zaadaptowane do języka polskiego w obecnej formie. Imię to funkcjonuje również w języku polskim w formie Inka, początkowo było ono polskim zdrobnieniem imienia Inez — francusko-iberyjskiej formy imienia Agnieszka (Inês, Inés, Inès) — z czasem jednak zaczęło funkcjonować w Polsce jako samodzielne imię."
Magdalena,434117,302057,hebrajskie,"<b>Magdalena</b> – <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imię</a> żeńskie pochodzenia <a href=""https://pl.wikipedia.org/wiki/Biblia"" target=""_blank"" rel=""noopener noreferrer"">biblijnego</a>. Wywodzi się od przydomka <a href=""https://pl.wikipedia.org/wiki/Maria_Magdalena"" target=""_blank"" rel=""noopener noreferrer"">Marii Magdaleny</a>, czyli Marii z <a href=""https://pl.wikipedia.org/wiki/Magdala_(Izrael)"" target=""_blank"" rel=""noopener noreferrer"">Magdali</a>, wioski leżącej w pobliżu <a href=""https://pl.wikipedia.org/wiki/Jezioro_Tyberiadzkie"" target=""_blank"" rel=""noopener noreferrer"">Jeziora Tyberiadzkiego (Galilejskiego)</a>."
Elżbieta,404679,310423,hebrajskie,"<b>Elżbieta</b> – <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imię</a> żeńskie pochodzenia <a href=""https://pl.wikipedia.org/wiki/Biblia"" target=""_blank"" rel=""noopener noreferrer"">biblijnego</a> wywodzące się od hebrajskiego słowa אלשבת <i>eliszewa</i> („Bóg mą przysięgą”). Zdrobnienia to Ela, Elka, Elcia, Elunia, Elżbietka, Elżunia, a pochodne to <a href=""https://pl.wikipedia.org/wiki/Halszka"" target=""_blank"" rel=""noopener noreferrer"">Halszka</a>, Halżbieta, Alżbieta, <a href=""https://pl.wikipedia.org/wiki/Izabela"" target=""_blank"" rel=""noopener noreferrer"">Izabela</a>, Liza, Elza (germ.), Eliza."
Teresa,312053,350228,greckie,"<b>Teresa</b> – <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imię</a> żeńskie pochodzenia <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_grecki"" target=""_blank"" rel=""noopener noreferrer"">greckiego</a>. Może wywodzić się od słowa oznaczającego „mieszkanka wyspy Thera (<i>znanej dziś jako: <a href=""https://pl.wikipedia.org/wiki/Santoryn"" target=""_blank"" rel=""noopener noreferrer"">Santoryn</a></i>)”."
